name,time,value
temp,1740087000846540748,304.84
temp,1740087001845544825,304.84
temp,1740087002837426368,304.84
temp,1740087003836420427,304.84
temp,1740087004844576450,304.84
temp,1740087005844632773,304.84
temp,1740087006889464948,304.84
temp,1740087007836359095,304.84
temp,1740087008840482605,304.84
temp,1740087009844165704,304.84
temp,1740087010844674071,304.84
temp,1740087011836712667,304.84
temp,1740087012838959993,304.84
temp,1740087013850672691,304.84
temp,1740087014844004202,304.84
temp,1740087015836777160,304.84
temp,1740087016830288608,304.84
temp,1740087017845817975,304.84
temp,1740087018844586713,304.84
temp,1740087019846343332,304.84
temp,1740087020839109508,304.84
temp,1740087021841563290,304.84
temp,1740087022843134673,304.84
temp,1740087023843347669,304.84
temp,1740087024838634884,304.84
temp,1740087025872567208,304.84
temp,1740087026855300101,304.84
temp,1740087027842460875,304.84
temp,1740087028839423460,304.84
temp,1740087029838485816,304.84
temp,1740087030853717748,305.09
temp,1740087031849403437,305.09
temp,1740087032846429259,305.09
temp,1740087033841316296,305.09
temp,1740087035461894583,305.09
temp,1740087035846089649,305.09
temp,1740087036851589892,305.09
temp,1740087037841620467,305.09
temp,1740087038845888578,305.09
temp,1740087039847853797,305.09
temp,1740087040847434423,305.09
temp,1740087041844643077,305.09
temp,1740087042837463003,305.09
temp,1740087043851975319,305.09
temp,1740087044847920082,305.09
temp,1740087045847936762,305.09
temp,1740087046845221879,305.09
temp,1740087047899109128,305.09
temp,1740087048852000347,305.09
temp,1740087049851613793,305.09
temp,1740087050853321031,305.09
temp,1740087051850016857,305.09
temp,1740087052851721419,305.09
temp,1740087053851603026,305.09
temp,1740087054845358149,305.09
temp,1740087055845827473,305.09
temp,1740087056855868368,305.09
temp,1740087057850613560,305.09
temp,1740087058856021991,305.09
temp,1740087059840659532,305.09
temp,1740087060864682425,305.71
temp,1740087061854199010,305.71
temp,1740087062854766268,305.71
temp,1740087063860960196,305.71
temp,1740087064853474501,305.71
temp,1740087065855273981,305.71
temp,1740087066852334237,305.71
temp,1740087067860313331,305.71
temp,1740087068849063785,305.71
temp,1740087069860781141,305.71
temp,1740087070852356652,305.71
temp,1740087071853716140,305.71
temp,1740087072848571267,305.71
temp,1740087073860528862,305.71
temp,1740087074855150053,305.71
temp,1740087075854405089,305.71
temp,1740087076848413926,305.71
temp,1740087077853430455,305.71
temp,1740087078854097039,305.71
temp,1740087079854747423,305.71
temp,1740087080858487147,305.71
temp,1740087081855287428,305.71
temp,1740087082856087621,305.71
temp,1740087083855336607,305.71
temp,1740087084854861988,305.71
temp,1740087085855827570,305.71
temp,1740087086860338444,305.71
temp,1740087087856095065,305.71
temp,1740087088859169928,305.71
temp,1740087089840622179,305.71
temp,1740087090864907241,305.96
temp,1740087091860443561,305.96
temp,1740087092864398648,305.96
temp,1740087093855934605,305.96
temp,1740087094861666090,305.96
temp,1740087095862974141,305.96
temp,1740087096862253924,305.96
temp,1740087097860270978,305.96
temp,1740087098852054928,305.96
temp,1740087099865840288,305.96
temp,1740087100861856975,305.96
temp,1740087101864837471,305.96
temp,1740087102856062868,305.96
temp,1740087103861127296,305.96
temp,1740087104862090374,305.96
temp,1740087105863376815,305.96
temp,1740087106855884327,305.96
temp,1740087107886242134,305.96
temp,1740087108863696056,305.96
temp,1740087109862920756,305.96
temp,1740087110862710140,305.96
temp,1740087111859443717,305.96
temp,1740087112863480556,305.96
temp,1740087113862583027,305.96
temp,1740087114863537038,305.96
temp,1740087115856810401,305.96
temp,1740087116866283184,305.96
temp,1740087117864792638,305.96
temp,1740087118860303981,305.96
temp,1740087119858947465,305.96
temp,1740087120874324417,306.71
temp,1740087121868877871,306.59
temp,1740087122867403745,306.59
temp,1740087123869406615,306.59
temp,1740087124870673209,306.59
temp,1740087125873989793,306.59
temp,1740087126866966852,306.59
temp,1740087127869685399,306.59
temp,1740087128867737468,306.59
temp,1740087129982319084,306.59
temp,1740087130870004599,306.59
temp,1740087131869664802,306.59
temp,1740087132863566239,306.59
temp,1740087133869102759,306.59
temp,1740087134867811465,306.59
temp,1740087135868615004,306.59
temp,1740087136871604757,306.59
temp,1740087137868400279,306.59
temp,1740087138872630870,306.59
temp,1740087139870639689,306.59
temp,1740087140868705263,306.59
temp,1740087141864690412,306.59
temp,1740087142875501645,306.59
temp,1740087143870484301,306.59
temp,1740087144869753003,306.59
temp,1740087145857157443,306.59
temp,1740087146868487997,306.59
temp,1740087147870507587,306.59
temp,1740087148906362202,306.59
temp,1740087149877863414,306.59
temp,1740087150872315639,307.02
temp,1740087151871544146,307.21
temp,1740087152870823228,307.21
temp,1740087153869849798,307.21
temp,1740087154865388151,307.21
temp,1740087155868165598,307.21
temp,1740087156867398293,307.21
temp,1740087157870653632,307.21
temp,1740087158864922354,307.21
temp,1740087159870943019,307.21
temp,1740087160871996364,307.21
temp,1740087161867475688,307.21
temp,1740087162867213307,307.21
temp,1740087163866873670,307.21
temp,1740087164868159310,307.21
temp,1740087165869065572,307.21
temp,1740087166868835220,307.21
temp,1740087167867548755,307.21
temp,1740087168870156936,307.21
temp,1740087169872230167,307.21
temp,1740087170997412486,307.21
temp,1740087171867302870,307.21
temp,1740087172867087888,307.21
temp,1740087173870319282,307.21
temp,1740087174869460978,307.21
temp,1740087175867672715,307.21
temp,1740087176870782563,307.21
temp,1740087177868742060,307.21
temp,1740087178868772805,307.21
temp,1740087179867714717,307.21
temp,1740087180875236766,307.84
temp,1740087181866145832,307.65
temp,1740087182868573225,307.65
temp,1740087183867573005,307.65
temp,1740087184875854042,307.65
temp,1740087185882390160,307.65
temp,1740087186872017662,307.65
temp,1740087187870419915,307.65
temp,1740087188871689294,307.65
temp,1740087189929929726,307.65
temp,1740087190871169359,307.65
temp,1740087191873987902,307.65
temp,1740087192873230856,307.65
temp,1740087193871717508,307.65
temp,1740087194872300234,307.65
temp,1740087195874474845,307.65
temp,1740087196873019975,307.65
temp,1740087197874128143,307.65
temp,1740087198872058786,307.65
temp,1740087199871323831,307.65
temp,1740087200871521378,307.65
temp,1740087201872086973,307.65
temp,1740087202872084897,307.65
temp,1740087203871623934,307.65
temp,1740087204874906955,307.65
temp,1740087205874428039,307.65
temp,1740087206879575603,307.65
temp,1740087207876159019,307.65
temp,1740087208872508878,307.65
temp,1740087209870623354,307.65
temp,1740087210887015373,308.27
temp,1740087211875760206,308.09
temp,1740087212874995335,308.09
temp,1740087213875793154,308.09
temp,1740087214876088824,308.09
temp,1740087215878017646,308.09
temp,1740087216877079752,308.09
temp,1740087217876084080,308.09
temp,1740087218877476920,308.09
temp,1740087219880070633,308.09
temp,1740087220885440732,308.09
temp,1740087221877378540,308.09
temp,1740087222875881031,308.09
temp,1740087223875691616,308.09
temp,1740087224877174574,308.09
temp,1740087225874442649,308.09
temp,1740087226877738323,308.09
temp,1740087227877037993,308.09
temp,1740087228878483512,308.09
temp,1740087229877996570,308.09
temp,1740087230965176200,308.09
temp,1740087231879787542,308.09
temp,1740087232875024182,308.09
temp,1740087233874575502,308.09
temp,1740087234874941644,308.09
temp,1740087235878145698,308.09
temp,1740087236877851106,308.09
temp,1740087237879466903,308.09
temp,1740087238875183870,308.09
temp,1740087239874641316,308.09
temp,1740087240881705571,308.52
temp,1740087241875772146,308.71
temp,1740087242875518801,308.71
temp,1740087243879469719,308.71
temp,1740087244876306248,308.71
temp,1740087245875993993,308.71
temp,1740087246874840346,308.71
temp,1740087247875063031,308.71
temp,1740087248874568685,308.71
temp,1740087249917975688,308.71
temp,1740087250875102198,308.71
temp,1740087251876095250,308.71
temp,1740087252874423717,308.71
temp,1740087253878133084,308.71
temp,1740087254875975090,308.71
temp,1740087255875865274,308.71
temp,1740087256874928502,308.71
temp,1740087257872965653,308.71
temp,1740087258875232826,308.71
temp,1740087259874513320,308.71
temp,1740087260877993379,308.71
temp,1740087261874844385,308.71
temp,1740087262876741928,308.71
temp,1740087263876785057,308.71
temp,1740087264873300316,308.71
temp,1740087265879844829,308.71
temp,1740087266880160467,308.71
temp,1740087267874352826,308.71
temp,1740087268873949170,308.71
temp,1740087269877138216,308.71
temp,1740087270883141949,308.96
temp,1740087271937685273,308.96
temp,1740087272887983551,309.15
temp,1740087273892252070,309.15
temp,1740087274897923342,309.21
temp,1740087275898062179,309.34
temp,1740087276903533356,309.34
temp,1740087277903936166,309.34
temp,1740087278908806913,309.34
temp,1740087279916357356,309.34
temp,1740087280919841763,309.34
temp,1740087281922294924,309.34
temp,1740087282924064167,309.34
temp,1740087283929132654,309.34
temp,1740087284931127818,309.34
temp,1740087285935603176,309.34
temp,1740087286941262576,309.34
temp,1740087288038691180,309.34
temp,1740087288938822264,309.59
temp,1740087313614400678,309.59
temp,1740087314612854509,309.59
temp,1740087315611892912,309.59
temp,1740087316617326910,309.59
temp,1740087317624352221,309.59
temp,1740087318631158475,309.4
temp,1740087319635384297,309.59
temp,1740087320641915266,309.59
temp,1740087321640738184,309.59
temp,1740087322730651390,309.59
temp,1740087323644700513,309.59
temp,1740087324644803152,309.71
temp,1740087325652440828,309.59
temp,1740087326655205789,309.59
temp,1740087327657521233,309.71
temp,1740087328659450204,309.59
temp,1740087329662888806,309.71
temp,1740087330668552093,309.59
temp,1740087331670136511,309.71
